fake_author_ID,ctrl_obs_cat,ctrl_obs_2cat,acadmic_age,first_gender,second_gender,third_gender,mobility_status2,continent,WB_region,un_subregion,continent_new,un_subregion_new,WB_region_new
10076,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10077,top5-top10_oxq1,Others,20,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10078,top5-top10_oxq1,Others,18,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10079,top1_oxq1,Talents,15,Male,Male,Male,Non mobile,Americas,Latin America & Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Latin America & Caribbean
10080,top1_oxq1,Talents,16,Female,Female,Female,Internal,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10081,top5-top10_oxq1,Others,14,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10082,top1_oxq1,Talents,19,Female,Female,Female,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
10083,top5-top10_oxq1,Others,22,Male,Male,Male,Internal,Asia,South Asia,Southern Asia,Asia,Southern Asia,South Asia
10084,top1_oxq1,Talents,13,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10085,top5-top10_oxq1,Others,19,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10086,top5-top10_oxq1,Others,22,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10087,top1_oxq1,Talents,21,Male,Male,Male,Non mobile,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
10088,top1_oxq1,Talents,14,Female,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10089,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10090,top1_oxq1,Talents,21,Female,Female,Female,Internal,Oceania,East Asia & Pacific,Australia and New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
10091,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10092,top1_oxq1,Talents,16,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10093,top1_oxq1,Talents,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10094,top1_oxq1,Talents,19,Female,Female,Female,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10095,top5-top10_oxq1,Others,21,Female,Female,Female,Internal,Americas,North America,Northern America,USA,USA,USA
10096,top1_oxq1,Talents,19,Female,Male,Male,Non mobile,Oceania,East Asia & Pacific,Australia and New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
10097,top1_oxq1,Talents,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10098,top1_oxq1,Talents,21,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10099,top1_oxq1,Talents,18,Male,Male,Male,Non mobile,Asia,Europe & Central Asia,Western Asia,Asia,Western Asia,Europe & Central Asia
10100,top1_oxq1,Talents,19,Female,Female,Female,Internal,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10101,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10102,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10103,top1_oxq1,Talents,19,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10104,top5-top10_oxq1,Others,21,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10105,top5-top10_oxq1,Others,21,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10106,top5-top10_oxq1,Others,21,Male,Male,Male,Internal,Americas,Latin America & Caribbean,Latin America and the Caribbean,BRA,BRA,BRA
10107,top1_oxq1,Talents,18,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10108,top1_oxq1,Talents,5,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10109,top5-top10_oxq1,Others,19,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10110,top1_oxq1,Talents,13,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10111,top1_oxq1,Talents,17,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10112,top1_oxq1,Talents,15,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10113,top1_oxq1,Talents,17,Male,Unknown,Unknown,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10114,top1_oxq1,Talents,22,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10115,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10116,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,Latin America & Caribbean,Latin America and the Caribbean,BRA,BRA,BRA
10117,top1_oxq1,Talents,19,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10118,top5-top10_oxq1,Others,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10119,top1_oxq1,Talents,19,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10120,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10121,top5-top10_oxq1,Others,22,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10122,top1_oxq1,Talents,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10123,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10124,top1_oxq1,Talents,19,Female,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10125,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10126,top1_oxq1,Talents,22,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10127,top5-top10_oxq1,Others,21,Male,Male,Male,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10128,top1_oxq1,Talents,16,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10129,top5-top10_oxq1,Others,20,Female,Female,Female,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10130,top5-top10_oxq1,Others,21,Female,Unknown,Unknown,Internal,Americas,North America,Northern America,USA,USA,USA
10131,top1_oxq1,Talents,18,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10132,top1_oxq1,Talents,22,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10133,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10134,top5-top10_oxq1,Others,22,Male,Male,Male,Internal,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10135,top1_oxq1,Talents,19,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10136,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
